N	Contract	D_double	D_single	Dc_half		Dcc_half
4 	1.000000	1.000000	1.000000	1.000000	1.000000
6 	1.468048	1.494811	1.494387	1.452866	1.327207
8 	1.927369	2.001563	1.990274	1.552370	1.426928
12 	2.842046	2.960451	2.989137	2.423419	1.545440
16 	3.764654	3.521929	3.560203	2.435115	1.499922
24 	5.608104	5.904519	5.805230	4.410179	2.409663
48 	11.142880	10.76195	10.50135	5.410866	2.303810
72 	15.914672	16.77507	15.86975	6.770409	2.207117
